,"Agriculture, forestry, fishing and hunting","Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,"Postal services, couriers and messengers, warehousing and storage 7",Information and cultural industries,Finance and insurance excluding monetary authorities 8,Real estate and rental and leasing,"Professional, scientific and technical services",Management of companies and enterprises,"Administrative and support, waste management and remediation services"
,,,,,,,,,,,,,,,
"Material handling, supply chain or logistics technologies",20.8B,15.6A,8.6A,12.8B,14.6A,26.0A,9.5A,21.4A,33.3B,9.9A,4.9A,9.7B,5.6A,3.7A,4.3A
Design or information control technologies,15.5B,12.8A,28.6B,17.5B,24.6A,20.6A,8.4A,14.9A,18.6B,28.2A,26.1A,15.0B,25.8A,10.5A,13.4B
Processing or fabrication technologies,14.8B,14.3A,10.1A,9.9B,35.4A,15.2A,3.6A,5.2A,5.2A,7.6A,2.0A,4.4A,5.7A,6.5A,5.0A
Clean technologies,13.9B,11.6A,36.1B,10.3B,11.3A,11.6A,8.2A,10.6A,6.1A,2.2A,3.8A,11.1B,7.4A,4.9A,12.8B
Security or advanced authentication systems,12.4B,7.9A,22.5B,8.1B,9.8A,15.1A,10.3A,13.5A,17.8B,30.9A,34.8A,12.7B,21.1A,9.7B,17.5B
Business intelligence technologies,16.1B,21.3A,34.6B,18.6B,15.8A,27.3A,16.9A,27.3B,28.0B,47.0A,43.7A,19.8B,41.2A,18.2B,17.7B
Other types of advanced technologies,4.4A,6.9A,14.7A,8.0B,6.7A,8.1A,5.9A,8.1A,5.4A,18.4A,11.3A,9.4B,16.9A,4.5A,9.7B
,,,,,,,,,,,,,,,
Nanotechnology,0.0E,0.9A,0.8A,0.0A,1.9A,2.0A,1.2A,0.3A,0.0E,0.9A,0.1A,1.3A,1.9A,0.0E,0.2A
Biotechnology,5.4A,1.9A,2.8A,0.8A,1.4A,3.0A,0.7A,0.5A,0.0E,0.6A,0.1A,0.2A,4.5A,0.3A,0.9A
Geomatics or geospatial technologies,5.3A,11.4A,18.2B,3.8A,1.4A,3.0A,0.1A,4.2A,2.9A,5.8A,13.1A,2.6A,10.2A,1.6A,4.7A
Artificial intelligence (AI),1.8A,3.7A,3.4A,0.8A,2.8A,3.0A,2.1A,1.6A,0.6A,16.8A,19.1A,2.1A,11.5A,3.2A,4.7A
Integrated Internet of Things (IoT) systems,13.8B,11.1A,18.8A,16.0B,9.6A,13.1A,7.8A,11.7A,9.9A,21.3A,20.6A,6.3B,17.0A,6.3A,12.5B
Blockchain technologies,0.0E,0.6A,2.5A,0.0A,0.5A,2.2A,0.6A,1.0A,0.6A,4.3A,13.4A,0.9A,2.7A,0.0E,1.5A
Other types of emerging technologies,2.7A,4.3A,12.2A,3.7A,3.4A,4.9A,2.3A,2.5A,5.4A,11.0A,4.7A,3.0A,12.2A,1.9A,5.0A
Any advanced or emerging technology use,44.4B,45.7B,70.6B,39.8B,54.7A,56.5A,29.9B,48.4B,55.4B,62.8A,57.2A,38.9B,63.8A,34.5B,41.5B
,,,,,,,,,,,,,,,
bigger contribution by industries,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Postal services, couriers and messengers, warehousing and storage 7",7,,,,,,,,,,,,,,
Finance and insurance excluding monetary authorities 8,8,,,,,,,,,,,,,,
Total selected services 5,5,,,,,,,,,,,,,,
All transportation 6,6,,,,,,,,,,,,,,
Total all surveyed industries 4,4,,,,,,,,,,,,,,
others,70,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
bigger contributions by technologies,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Advanced technology use,2,,,,,,,,,,,,,,
Emerging technology use,3,,,,,,,,,,,,,,
Traditional technologies,95,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Agriculture, forestry, fishing and hunting","Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,"Postal services, couriers and messengers, warehousing and storage 7",Information and cultural industries,Finance and insurance excluding monetary authorities 8,Real estate and rental and leasing,"Professional, scientific and technical services",Management of companies and enterprises,"Administrative and support, waste management and remediation services"
Advanced technology use,37.6B,39.2A,67.3B,36.3B,52.8A,52.9A,28.7B,45.6B,55.4B,59.8A,54.8A,37.7B,56.1B,33.0B,36.4B
Emerging technology use,22.3B,21.8A,36.7B,19.9B,15.5A,18.9A,11.0A,16.1A,14.1B,35.2A,28.4A,11.2B,38.4A,9.4A,17.5B
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Adv Techs,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Total selected services,All transportation,Total all surveyed industries,,,,,,,,,,,,
"Material handling, supply chain or logistics technologies",11.7A,20.1B,12.7A,,,,,,,,,,,,
Design or information control technologies,16.0A,14.5A,17.7A,,,,,,,,,,,,
Processing or fabrication technologies,6.2A,5.2A,12.2A,,,,,,,,,,,,
Clean technologies,9.2A,11.1A,10.0A,,,,,,,,,,,,
Security or advanced authentication systems,15.9A,13.1A,13.5A,,,,,,,,,,,,
Business intelligence technologies,25.7A,27.2B,22.5A,,,,,,,,,,,,
Other types of advanced technologies,9.4A,8.3A,8.5A,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nanotechnology,1.1A,0.3A,1.1A,,,,,,,,,,,,
Biotechnology,1.6A,0.6A,1.6A,,,,,,,,,,,,
Geomatics or geospatial technologies,4.0A,4.4A,3.7A,,,,,,,,,,,,
Artificial intelligence (AI),5.3A,1.7A,4.0A,,,,,,,,,,,,
Integrated Internet of Things (IoT) systems,12.0A,11.9A,12.2A,,,,,,,,,,,,
Blockchain technologies,2.1A,1.0A,1.4A,,,,,,,,,,,,
Other types of emerging technologies,5.0A,2.2A,4.4A,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Total selected services,All transportation,Total all surveyed industries,,,,,,,,,,,,
Advanced technology use 2,41.9A,44.6B,42.8A,,,,,,,,,,,,
Emerging technology use 3,19.2A,16.3A,18.9A,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Answering Table,,,,,,,,,,,,,,,
,Total selected services,All transportation,Total all surveyed industries,,,,,,,,,,,,
Any advanced or emerging technology use,45.2A,47.6B,46.1A,,,,,,,,,,,,
