Industries,Advanced technology use,Emerging technology use
"Agriculture, forestry, fishing and hunting",37.6B,22.3B
"Mining, quarrying, and oil and gas extraction",39.2A,21.8A
Utilities,67.3B,36.7B
Construction,36.3B,19.9B
Manufacturing,52.8A,15.5A
Wholesale trade,52.9A,18.9A
Retail trade,28.7B,11.0A
Transportation and warehousing,45.6B,16.1A
"Postal services, couriers and messengers, warehousing and storage 7",55.4B,14.1B
Information and cultural industries,59.8A,35.2A
Finance and insurance excluding monetary authorities 8,54.8A,28.4A
Real estate and rental and leasing,37.7B,11.2B
"Professional, scientific and technical services",56.1B,38.4A
Management of companies and enterprises,33.0B,9.4A
"Administrative and support, waste management and remediation services",36.4B,17.5B
